Province,Income Gap 2006,Income Gap 2009,Income Gap 2012,Income Gap 2015,Income Gap 2015 (FIES 2018 Adjusted),Income Gap 2018 (FIES 2018 Adjusted),Poverty Gap 2006,Poverty Gap 2009,Poverty Gap 2012,Poverty Gap 2015,Poverty Gap 2015 (FIES 2018 Adjusted),Poverty Gap 2018 (FIES 2018 Adjusted),Severity of Poverty 2006,Severity of Poverty 2009,Severity of Poverty 2012,Severity of Poverty 2015,Severity of Poverty 2015 (FIES 2018 Adjusted),Severity of Poverty 2018 (FIES 2018 Adjusted)
"NCR, City of Manila, First District",21.9,12.9,16.2,20.2,19.9,18.7,0.6,0.4,0.6,0.7,0.7,0.4,0.2,0.1,0.2,0.2,0.3,0.1
"NCR, Second District",13.3,17,18,14.5,15.1,13.7,0.4,0.4,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0
"NCR, Third District",19.6,18.4,18.3,15.8,15.7,16.3,0.6,0.6,0.5,0.5,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1
"NCR, Fourth District",21.4,17,16.1,17,16.2,14.7,0.5,0.3,0.5,0.5,0.5,0.1,0.2,0.1,0.1,0.1,0.2,0
Abra,30.7,32.4,25.2,19.4,19.6,23.4,12.1,12.6,6.8,3.9,3.9,3.4,4.9,5.4,2.4,1,1.1,1.1
Apayao,32.5,29.8,31.3,20.3,24.1,21.2,13.7,11.9,17.1,6.3,9.2,3.4,5.9,4.4,7.6,1.7,2.9,1
Benguet,18.3,22.2,14.9,13.9,14.7,20.8,0.7,0.9,0.4,0.3,0.4,0.9,0.2,0.3,0.1,0.1,0.1,0.3
Ifugao,22.3,24.4,29,27.6,27.4,16.4,4.7,5.8,10.5,7.2,9.6,1.6,1.6,2.2,4,2.6,3.7,0.4
Kalinga,32.9,27.2,28.6,25.4,24.8,18.4,13.4,6.5,6,7.6,8.6,1.7,5.6,2.5,2.3,2.9,3.3,0.5
Mountain Province,29.8,29.4,24.8,24.2,24.3,23.4,11.5,11.6,6.9,7.1,8.1,4,4.5,4.8,2.6,2.5,2.9,1.3
Ilocos Norte,22.9,20.3,17,7,14.4,10.1,3.1,2.3,1.4,0.2,0.8,0.3,1.1,0.7,0.4,,0.1,0
Ilocos Sur,20,19.3,30.2,15.1,16.8,15.7,3.3,2.6,4.1,1.4,1.8,0.9,1,0.8,1.7,0.4,0.5,0.2
La Union,24.1,27.3,24,25.3,25.7,13.3,5,6.1,3.7,2.3,3.5,0.4,1.8,2.3,1.3,0.8,1.3,0.1
Pangasinan,23.8,22.2,20,18,19.4,17.3,5.2,3.8,3,2,3.3,1.6,1.8,1.3,0.9,0.6,1,0.4
Batanes ,6.4,6.6,23.4,,0.2,18.5,0.9,1.1,4.3,,0,1.2,0.1,0.1,1.1,,0,0.3
Cagayan,23.6,23.8,21.2,19.9,20.2,19,5.9,5.4,3.2,2.6,2.8,2.4,2.1,1.9,1,0.8,0.8,0.7
Isabela,23.6,23.6,20.6,15.6,16.2,19.5,5.6,5.3,3.9,1.7,2,2.6,1.9,1.8,1.2,0.4,0.5,0.8
Nueva Vizcaya,18.8,19.9,29.3,19.1,19.9,20.3,2.1,2,4.4,1.7,2.1,2.4,0.6,0.6,1.9,0.6,0.7,0.7
Quirino,19.1,25.8,13.4,18.4,19.5,16.8,1.8,2.9,2.1,3.4,4,1.5,0.5,1,0.4,1,1.2,0.4
Aurora,27,12.1,25,25,26.9,18.7,6.8,1.8,6.8,5.5,7.3,2.2,2.7,0.4,2.7,1.8,2.7,0.6
Bataan,16.2,14.6,21.1,12.5,15.9,19.5,1,0.9,0.9,0.2,0.1,1.1,0.2,0.2,0.4,,0,0.3
